Los Botines Vaquero Village - Water System Analysis
 Time Series Plot - Pressure for Node J_CNT36
Series          	Time (hours)    	Pressure (psi)  
Computed        	0.0000          	-429806.1250    
Computed        	0.0333          	-429806.1250    
Computed        	0.0667          	-429808.9375    
Computed        	0.1000          	-429814.0938    
Computed        	0.1333          	-429802.1250    
Computed        	0.1667          	-429819.4063    
Computed        	0.2000          	-429822.9375    
Computed        	0.2333          	-429810.4375    
Computed        	0.2667          	-429810.4375    
Computed        	0.3000          	-429815.8750    
Computed        	0.3333          	-429799.3750    
Computed        	0.3667          	-429824.9063    
Computed        	0.4000          	-429824.5625    
Computed        	0.4333          	-429827.8750    
Computed        	0.4667          	-429802.8125    
Computed        	0.5000          	-429813.5625    
Computed        	0.5333          	-429809.8125    
Computed        	0.5667          	-429803.6563    
Computed        	0.6000          	-429821.1563    
Computed        	0.6333          	-429805.2500    
Computed        	0.6667          	-429805.1250    
Computed        	0.7000          	-429823.5625    
Computed        	0.7333          	-429838.3125    
Computed        	0.7667          	-429838.8125    
Computed        	0.8000          	-429819.5000    
Computed        	0.8333          	-429818.2500    
Computed        	0.8667          	-429828.5000    
Computed        	0.9000          	-429829.1875    
Computed        	0.9333          	-429814.8438    
Computed        	0.9667          	-429807.7500    
Computed        	1.0000          	-429836.6875    
Computed        	1.0333          	-429831.8750    
Computed        	1.0667          	-429820.0313    
Computed        	1.1000          	-429818.8125    
Computed        	1.1333          	-429841.6875    
Computed        	1.1667          	-429849.0000    
Computed        	1.2000          	-429809.2813    
Computed        	1.2333          	-429831.0625    
Computed        	1.2667          	-429839.0313    
Computed        	1.3000          	-429831.7188    
Computed        	1.3333          	-429807.9688    
Computed        	1.3667          	-429831.7188    
Computed        	1.4000          	-429824.7188    
Computed        	1.4333          	-429838.9375    
Computed        	1.4667          	-429792.6563    
Computed        	1.5000          	-429811.8750    
Computed        	1.5333          	-429842.6875    
Computed        	1.5667          	-429828.2500    
Computed        	1.6000          	-429810.2188    
Computed        	1.6333          	-429818.8750    
Computed        	1.6667          	-429844.6875    
Computed        	1.7000          	-429834.7500    
Computed        	1.7333          	-429799.0000    
Computed        	1.7667          	-429811.6250    
Computed        	1.8000          	-429825.5313    
Computed        	1.8333          	-429831.7500    
Computed        	1.8667          	-429808.1563    
Computed        	1.9000          	-429836.5938    
Computed        	1.9333          	-429839.0313    
Computed        	1.9667          	-429817.7813    
Computed        	2.0000          	-429826.5313    
