Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,100.0
2.5,36.56,100.0
5.0,28.57,20.0
7.5,19.69,20.0
12.5,1.93,0.0
15.0,-6.95,0.0
17.5,-15.83,0.0
20.0,-24.72,0.0
22.5,-33.6,0.0
25.0,-42.48,0.0
27.5,-51.36,0.0
30.0,-60.24,0.0
32.5,-69.12,0.0
35.0,-78.01,0.0
37.5,-86.89,0.0
40.0,-95.77,0.0
42.5,-104.65,0.0
45.0,-113.53,0.0
47.5,-122.41,0.0
50.0,-131.29,0.0
52.5,-140.18,0.0
55.0,-149.06,0.0
57.5,-157.94,0.0
60.0,-166.82,0.0
62.5,-175.7,0.0
65.0,-184.58,0.0
67.5,-193.47,0.0
70.0,-202.35,0.0
72.5,-211.23,0.0
75.0,-220.11,0.0
77.5,-228.99,0.0
80.0,-237.87,0.0
82.5,-246.76,0.0
85.0,-255.64,0.0
87.5,-264.52,0.0
90.0,-273.4,0.0
92.5,-282.28,0.0
95.0,-291.16,0.0
97.5,-300.04,0.0
100.0,-308.93,0.0
102.5,-317.81,0.0
105.0,-326.69,0.0
107.5,-335.57,0.0
110.0,-344.45,0.0
112.5,-353.33,0.0
115.0,-362.22,0.0
117.5,-371.1,0.0
120.0,-379.98,0.0
