Los Botines Vaquero Village - Water System Analysis
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT36    	1.8333          	53.0162         
Node J_CNT36    	1.8667          	49.5473         
Node J_CNT36    	1.9000          	53.0568         
Node J_CNT36    	1.9333          	49.2402         
Node J_CNT36    	1.9667          	53.6646         
Node J_CNT36    	2.0000          	53.3623         
Node J_CNT41    	0.0000          	58.3615         
Node J_CNT41    	0.0333          	58.1543         
Node J_CNT41    	0.0667          	57.0161         
Node J_CNT41    	0.1000          	55.8297         
Node J_CNT41    	0.1333          	63.8145         
Node J_CNT41    	0.1667          	61.5152         
Node J_CNT41    	0.2000          	62.0923         
Node J_CNT41    	0.2333          	62.8986         
Node J_CNT41    	0.2667          	62.6567         
Node J_CNT41    	0.3000          	62.4875         
Node J_CNT41    	0.3333          	62.0125         
Node J_CNT41    	0.3667          	61.8883         
Node J_CNT41    	0.4000          	61.4356         
Node J_CNT41    	0.4333          	60.9858         
Node J_CNT41    	0.4667          	60.5376         
Node J_CNT41    	0.5000          	60.0950         
Node J_CNT41    	0.5333          	59.6628         
Node J_CNT41    	0.5667          	59.2457         
Node J_CNT41    	0.6000          	58.8483         
Node J_CNT41    	0.6333          	58.0965         
Node J_CNT41    	0.6667          	57.1092         
Node J_CNT41    	0.7000          	55.2443         
Node J_CNT41    	0.7333          	48.3357         
Node J_CNT41    	0.7667          	50.3740         
Node J_CNT41    	0.8000          	53.3676         
Node J_CNT41    	0.8333          	60.1713         
Node J_CNT41    	0.8667          	58.3432         
Node J_CNT41    	0.9000          	56.4114         
Node J_CNT41    	0.9333          	53.1181         
Node J_CNT41    	0.9667          	58.5701         
Node J_CNT41    	1.0000          	56.7615         
Node J_CNT41    	1.0333          	53.4232         
Node J_CNT41    	1.0667          	50.3102         
Node J_CNT41    	1.1000          	52.9306         
Node J_CNT41    	1.1333          	61.0898         
Node J_CNT41    	1.1667          	56.0617         
Node J_CNT41    	1.2000          	51.3178         
Node J_CNT41    	1.2333          	62.5762         
Node J_CNT41    	1.2667          	55.2288         
Node J_CNT41    	1.3000          	49.2634         
Node J_CNT41    	1.3333          	58.6629         
Node J_CNT41    	1.3667          	52.9477         
Node J_CNT41    	1.4000          	41.0233         
Node J_CNT41    	1.4333          	50.3185         
Node J_CNT41    	1.4667          	63.5318         
Node J_CNT41    	1.5000          	62.3581         
Node J_CNT41    	1.5333          	55.9806         
Node J_CNT41    	1.5667          	50.6882         
Node J_CNT41    	1.6000          	63.8081         
Node J_CNT41    	1.6333          	54.3763         
Node J_CNT41    	1.6667          	46.4795         
Node J_CNT41    	1.7000          	52.3253         
Node J_CNT41    	1.7333          	53.7080         
Node J_CNT41    	1.7667          	54.4176         
Node J_CNT41    	1.8000          	51.1115         
Node J_CNT41    	1.8333          	53.9046         
Node J_CNT41    	1.8667          	50.4357         
Node J_CNT41    	1.9000          	53.9452         
Node J_CNT41    	1.9333          	50.1287         
Node J_CNT41    	1.9667          	54.5530         
Node J_CNT41    	2.0000          	54.2508         
Node J_CNT80    	0.0000          	58.3431         
Node J_CNT80    	0.0333          	58.1359         
Node J_CNT80    	0.0667          	56.9977         
Node J_CNT80    	0.1000          	55.8113         
Node J_CNT80    	0.1333          	63.7961         
Node J_CNT80    	0.1667          	61.4968         
Node J_CNT80    	0.2000          	62.0739         
Node J_CNT80    	0.2333          	62.8802         
Node J_CNT80    	0.2667          	62.6382         
Node J_CNT80    	0.3000          	62.4691         
Node J_CNT80    	0.3333          	61.9940         
Node J_CNT80    	0.3667          	61.8699         
Node J_CNT80    	0.4000          	61.4172         
Node J_CNT80    	0.4333          	60.9674         
Node J_CNT80    	0.4667          	60.5192         
Node J_CNT80    	0.5000          	60.0766         
