Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT80    	0.6333          	36.7469         
Node J_CNT80    	0.6667          	38.0844         
Node J_CNT80    	0.7000          	34.5723         
Node J_CNT80    	0.7333          	39.3356         
Node J_CNT80    	0.7667          	25.6567         
Node J_CNT80    	0.8000          	29.3397         
Node J_CNT80    	0.8333          	51.4992         
Node J_CNT80    	0.8667          	24.6085         
Node J_CNT80    	0.9000          	55.5071         
Node J_CNT80    	0.9333          	23.1071         
Node J_CNT80    	0.9667          	56.0351         
Node J_CNT80    	1.0000          	22.2179         
Node J_CNT80    	1.0333          	56.1548         
Node J_CNT80    	1.0667          	21.2712         
Node J_CNT80    	1.1000          	56.2166         
Node J_CNT80    	1.1333          	21.0300         
Node J_CNT80    	1.1667          	56.0472         
Node J_CNT80    	1.2000          	20.0815         
Node J_CNT80    	1.2333          	56.0808         
Node J_CNT80    	1.2667          	19.0902         
Node J_CNT80    	1.3000          	56.0741         
Node J_CNT80    	1.3333          	18.8282         
Node J_CNT80    	1.3667          	55.8853         
Node J_CNT80    	1.4000          	17.8442         
Node J_CNT80    	1.4333          	55.8649         
Node J_CNT80    	1.4667          	17.5953         
Node J_CNT80    	1.5000          	55.6837         
Node J_CNT80    	1.5333          	16.6129         
Node J_CNT80    	1.5667          	55.6520         
Node J_CNT80    	1.6000          	16.3715         
Node J_CNT80    	1.6333          	55.4771         
Node J_CNT80    	1.6667          	16.1764         
Node J_CNT80    	1.7000          	55.3260         
Node J_CNT80    	1.7333          	16.4228         
Node J_CNT80    	1.7667          	55.1199         
Node J_CNT80    	1.8000          	16.3131         
Node J_CNT80    	1.8333          	55.0039         
Node J_CNT80    	1.8667          	16.5259         
Node J_CNT80    	1.9000          	54.5603         
Node J_CNT80    	1.9333          	16.7335         
Node J_CNT80    	1.9667          	54.3789         
Node J_CNT80    	2.0000          	16.9122         
