Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT36    	1.6667          	-429812.1563    
Node J_CNT36    	1.7000          	-429825.7188    
Node J_CNT36    	1.7333          	-429789.2813    
Node J_CNT36    	1.7667          	-429840.4688    
Node J_CNT36    	1.8000          	-429788.4063    
Node J_CNT36    	1.8333          	-429838.4688    
Node J_CNT36    	1.8667          	-429790.7188    
Node J_CNT36    	1.9000          	-429823.9063    
Node J_CNT36    	1.9333          	-429793.9688    
Node J_CNT36    	1.9667          	-429844.4688    
Node J_CNT36    	2.0000          	-429810.4063    
Node J_CNT41    	0.0000          	55.3688         
Node J_CNT41    	0.0333          	53.1960         
Node J_CNT41    	0.0667          	51.5328         
Node J_CNT41    	0.1000          	58.9925         
Node J_CNT41    	0.1333          	47.0446         
Node J_CNT41    	0.1667          	59.6970         
Node J_CNT41    	0.2000          	44.8375         
Node J_CNT41    	0.2333          	57.6440         
Node J_CNT41    	0.2667          	44.1736         
Node J_CNT41    	0.3000          	50.4599         
Node J_CNT41    	0.3333          	47.2613         
Node J_CNT41    	0.3667          	48.8683         
Node J_CNT41    	0.4000          	46.3647         
Node J_CNT41    	0.4333          	47.7305         
Node J_CNT41    	0.4667          	47.1251         
Node J_CNT41    	0.5000          	48.0145         
Node J_CNT41    	0.5333          	42.2620         
Node J_CNT41    	0.5667          	45.8513         
Node J_CNT41    	0.6000          	45.1791         
Node J_CNT41    	0.6333          	45.2116         
Node J_CNT41    	0.6667          	42.7413         
Node J_CNT41    	0.7000          	42.8687         
Node J_CNT41    	0.7333          	45.2935         
Node J_CNT41    	0.7667          	41.3640         
Node J_CNT41    	0.8000          	45.8166         
Node J_CNT41    	0.8333          	34.6159         
Node J_CNT41    	0.8667          	43.4537         
Node J_CNT41    	0.9000          	30.0322         
Node J_CNT41    	0.9333          	57.7862         
Node J_CNT41    	0.9667          	33.4530         
Node J_CNT41    	1.0000          	61.4595         
Node J_CNT41    	1.0333          	33.3758         
Node J_CNT41    	1.0667          	61.4592         
Node J_CNT41    	1.1000          	33.3428         
Node J_CNT41    	1.1333          	61.8683         
Node J_CNT41    	1.1667          	33.2632         
Node J_CNT41    	1.2000          	61.8683         
Node J_CNT41    	1.2333          	33.2295         
Node J_CNT41    	1.2667          	61.8683         
Node J_CNT41    	1.3000          	33.2123         
Node J_CNT41    	1.3333          	61.8683         
Node J_CNT41    	1.3667          	33.2032         
Node J_CNT41    	1.4000          	61.8683         
Node J_CNT41    	1.4333          	33.1983         
Node J_CNT41    	1.4667          	61.8683         
Node J_CNT41    	1.5000          	33.1955         
Node J_CNT41    	1.5333          	61.8683         
Node J_CNT41    	1.5667          	33.1940         
Node J_CNT41    	1.6000          	61.8683         
Node J_CNT41    	1.6333          	33.1931         
Node J_CNT41    	1.6667          	61.8683         
Node J_CNT41    	1.7000          	33.1926         
Node J_CNT41    	1.7333          	61.8683         
Node J_CNT41    	1.7667          	33.1923         
Node J_CNT41    	1.8000          	61.8683         
Node J_CNT41    	1.8333          	33.1922         
Node J_CNT41    	1.8667          	61.8683         
Node J_CNT41    	1.9000          	33.1921         
Node J_CNT41    	1.9333          	61.8683         
Node J_CNT41    	1.9667          	33.1920         
Node J_CNT41    	2.0000          	61.8683         
Node J_CNT80    	0.0000          	53.5207         
Node J_CNT80    	0.0333          	51.3478         
Node J_CNT80    	0.0667          	49.6846         
Node J_CNT80    	0.1000          	57.1443         
Node J_CNT80    	0.1333          	45.1964         
Node J_CNT80    	0.1667          	57.8488         
Node J_CNT80    	0.2000          	42.9894         
Node J_CNT80    	0.2333          	55.7959         
Node J_CNT80    	0.2667          	42.3254         
Node J_CNT80    	0.3000          	48.6118         
Node J_CNT80    	0.3333          	45.4132         
Node J_CNT80    	0.3667          	47.0201         
Node J_CNT80    	0.4000          	44.5165         
Node J_CNT80    	0.4333          	45.8823         
Node J_CNT80    	0.4667          	45.2770         
Node J_CNT80    	0.5000          	46.1664         
Node J_CNT80    	0.5333          	40.4138         
Node J_CNT80    	0.5667          	44.0032         
Node J_CNT80    	0.6000          	43.3309         
Node J_CNT80    	0.6333          	43.3635         
Node J_CNT80    	0.6667          	40.8931         
Node J_CNT80    	0.7000          	41.0205         
Node J_CNT80    	0.7333          	43.4453         
Node J_CNT80    	0.7667          	39.5158         
Node J_CNT80    	0.8000          	43.9684         
Node J_CNT80    	0.8333          	32.7677         
Node J_CNT80    	0.8667          	41.6055         
Node J_CNT80    	0.9000          	28.1841         
Node J_CNT80    	0.9333          	55.9381         
Node J_CNT80    	0.9667          	31.6048         
Node J_CNT80    	1.0000          	59.6114         
Node J_CNT80    	1.0333          	31.5276         
Node J_CNT80    	1.0667          	59.6111         
Node J_CNT80    	1.1000          	31.4946         
Node J_CNT80    	1.1333          	60.0202         
Node J_CNT80    	1.1667          	31.4150         
Node J_CNT80    	1.2000          	60.0202         
Node J_CNT80    	1.2333          	31.3813         
Node J_CNT80    	1.2667          	60.0202         
Node J_CNT80    	1.3000          	31.3641         
Node J_CNT80    	1.3333          	60.0202         
Node J_CNT80    	1.3667          	31.3550         
Node J_CNT80    	1.4000          	60.0202         
Node J_CNT80    	1.4333          	31.3501         
Node J_CNT80    	1.4667          	60.0202         
Node J_CNT80    	1.5000          	31.3474         
Node J_CNT80    	1.5333          	60.0202         
Node J_CNT80    	1.5667          	31.3458         
Node J_CNT80    	1.6000          	60.0202         
Node J_CNT80    	1.6333          	31.3449         
Node J_CNT80    	1.6667          	60.0202         
Node J_CNT80    	1.7000          	31.3445         
Node J_CNT80    	1.7333          	60.0202         
Node J_CNT80    	1.7667          	31.3442         
Node J_CNT80    	1.8000          	60.0202         
Node J_CNT80    	1.8333          	31.3440         
Node J_CNT80    	1.8667          	60.0202         
Node J_CNT80    	1.9000          	31.3439         
Node J_CNT80    	1.9333          	60.0202         
Node J_CNT80    	1.9667          	31.3439         
Node J_CNT80    	2.0000          	60.0202         
