Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT36    	1.8333          	46.4277         
Node J_CNT36    	1.8667          	58.9543         
Node J_CNT36    	1.9000          	51.1589         
Node J_CNT36    	1.9333          	42.4524         
Node J_CNT36    	1.9667          	53.9446         
Node J_CNT36    	2.0000          	46.5309         
Node J_CNT41    	0.0000          	58.3615         
Node J_CNT41    	0.0333          	57.5466         
Node J_CNT41    	0.0667          	55.4711         
Node J_CNT41    	0.1000          	63.7967         
Node J_CNT41    	0.1333          	51.9044         
Node J_CNT41    	0.1667          	59.2342         
Node J_CNT41    	0.2000          	51.1612         
Node J_CNT41    	0.2333          	58.2919         
Node J_CNT41    	0.2667          	50.3497         
Node J_CNT41    	0.3000          	57.0237         
Node J_CNT41    	0.3333          	51.7809         
Node J_CNT41    	0.3667          	62.0770         
Node J_CNT41    	0.4000          	50.6955         
Node J_CNT41    	0.4333          	62.1573         
Node J_CNT41    	0.4667          	50.2220         
Node J_CNT41    	0.5000          	62.2467         
Node J_CNT41    	0.5333          	49.7379         
Node J_CNT41    	0.5667          	61.7661         
Node J_CNT41    	0.6000          	49.4708         
Node J_CNT41    	0.6333          	59.9183         
Node J_CNT41    	0.6667          	49.6548         
Node J_CNT41    	0.7000          	55.7080         
Node J_CNT41    	0.7333          	51.6675         
Node J_CNT41    	0.7667          	55.0425         
Node J_CNT41    	0.8000          	51.9964         
Node J_CNT41    	0.8333          	56.5368         
Node J_CNT41    	0.8667          	51.2363         
Node J_CNT41    	0.9000          	57.1734         
Node J_CNT41    	0.9333          	55.8365         
Node J_CNT41    	0.9667          	52.5133         
Node J_CNT41    	1.0000          	64.0149         
Node J_CNT41    	1.0333          	57.8852         
Node J_CNT41    	1.0667          	56.7442         
Node J_CNT41    	1.1000          	55.3428         
Node J_CNT41    	1.1333          	51.4370         
Node J_CNT41    	1.1667          	64.8610         
Node J_CNT41    	1.2000          	56.6852         
Node J_CNT41    	1.2333          	54.7885         
Node J_CNT41    	1.2667          	49.2507         
Node J_CNT41    	1.3000          	58.2497         
Node J_CNT41    	1.3333          	55.0830         
Node J_CNT41    	1.3667          	51.0891         
Node J_CNT41    	1.4000          	62.7500         
Node J_CNT41    	1.4333          	55.2500         
Node J_CNT41    	1.4667          	51.0784         
Node J_CNT41    	1.5000          	61.2486         
Node J_CNT41    	1.5333          	54.6667         
Node J_CNT41    	1.5667          	49.3621         
Node J_CNT41    	1.6000          	64.2078         
Node J_CNT41    	1.6333          	53.8458         
Node J_CNT41    	1.6667          	46.6422         
Node J_CNT41    	1.7000          	57.5935         
Node J_CNT41    	1.7333          	52.3161         
Node J_CNT41    	1.7667          	44.7644         
Node J_CNT41    	1.8000          	54.6972         
Node J_CNT41    	1.8333          	47.3161         
Node J_CNT41    	1.8667          	59.8427         
Node J_CNT41    	1.9000          	52.0473         
Node J_CNT41    	1.9333          	43.3408         
Node J_CNT41    	1.9667          	54.8331         
Node J_CNT41    	2.0000          	47.4193         
Node J_CNT80    	0.0000          	58.3431         
Node J_CNT80    	0.0333          	57.5282         
Node J_CNT80    	0.0667          	55.4527         
Node J_CNT80    	0.1000          	63.7783         
Node J_CNT80    	0.1333          	51.8860         
Node J_CNT80    	0.1667          	59.2158         
Node J_CNT80    	0.2000          	51.1428         
Node J_CNT80    	0.2333          	58.2735         
Node J_CNT80    	0.2667          	50.3313         
Node J_CNT80    	0.3000          	57.0053         
Node J_CNT80    	0.3333          	51.7625         
Node J_CNT80    	0.3667          	62.0586         
Node J_CNT80    	0.4000          	50.6771         
Node J_CNT80    	0.4333          	62.1389         
Node J_CNT80    	0.4667          	50.2036         
Node J_CNT80    	0.5000          	62.2283         
Node J_CNT80    	0.5333          	49.7195         
Node J_CNT80    	0.5667          	61.7477         
Node J_CNT80    	0.6000          	49.4524         
Node J_CNT80    	0.6333          	59.8999         
Node J_CNT80    	0.6667          	49.6364         
Node J_CNT80    	0.7000          	55.6896         
Node J_CNT80    	0.7333          	51.6491         
Node J_CNT80    	0.7667          	55.0241         
Node J_CNT80    	0.8000          	51.9780         
Node J_CNT80    	0.8333          	56.5184         
Node J_CNT80    	0.8667          	51.2179         
Node J_CNT80    	0.9000          	57.1550         
Node J_CNT80    	0.9333          	55.8181         
Node J_CNT80    	0.9667          	52.4949         
Node J_CNT80    	1.0000          	63.9965         
Node J_CNT80    	1.0333          	57.8668         
Node J_CNT80    	1.0667          	56.7257         
Node J_CNT80    	1.1000          	55.3244         
Node J_CNT80    	1.1333          	51.4185         
Node J_CNT80    	1.1667          	64.8426         
Node J_CNT80    	1.2000          	56.6668         
Node J_CNT80    	1.2333          	54.7701         
Node J_CNT80    	1.2667          	49.2323         
Node J_CNT80    	1.3000          	58.2313         
Node J_CNT80    	1.3333          	55.0646         
Node J_CNT80    	1.3667          	51.0707         
Node J_CNT80    	1.4000          	62.7316         
Node J_CNT80    	1.4333          	55.2316         
Node J_CNT80    	1.4667          	51.0600         
Node J_CNT80    	1.5000          	61.2302         
Node J_CNT80    	1.5333          	54.6483         
Node J_CNT80    	1.5667          	49.3436         
Node J_CNT80    	1.6000          	64.1894         
Node J_CNT80    	1.6333          	53.8274         
Node J_CNT80    	1.6667          	46.6238         
Node J_CNT80    	1.7000          	57.5750         
Node J_CNT80    	1.7333          	52.2976         
Node J_CNT80    	1.7667          	44.7460         
Node J_CNT80    	1.8000          	54.6788         
Node J_CNT80    	1.8333          	47.2977         
Node J_CNT80    	1.8667          	59.8243         
Node J_CNT80    	1.9000          	52.0289         
Node J_CNT80    	1.9333          	43.3224         
Node J_CNT80    	1.9667          	54.8147         
Node J_CNT80    	2.0000          	47.4009         
