Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT36    	1.6667          	-1514201.3750   
Node J_CNT36    	1.7000          	-1514244.0000   
Node J_CNT36    	1.7333          	-1514275.2500   
Node J_CNT36    	1.7667          	-1514168.6250   
Node J_CNT36    	1.8000          	-1514205.2500   
Node J_CNT36    	1.8333          	-1514225.7500   
Node J_CNT36    	1.8667          	-1514234.3750   
Node J_CNT36    	1.9000          	-1514236.8750   
Node J_CNT36    	1.9333          	-1514217.5000   
Node J_CNT36    	1.9667          	-1514215.6250   
Node J_CNT36    	2.0000          	-1514318.1250   
Node J_CNT41    	0.0000          	53.6145         
Node J_CNT41    	0.0333          	51.6044         
Node J_CNT41    	0.0667          	49.1445         
Node J_CNT41    	0.1000          	57.3045         
Node J_CNT41    	0.1333          	52.2297         
Node J_CNT41    	0.1667          	49.2562         
Node J_CNT41    	0.2000          	45.9822         
Node J_CNT41    	0.2333          	58.2724         
Node J_CNT41    	0.2667          	47.7674         
Node J_CNT41    	0.3000          	36.6048         
Node J_CNT41    	0.3333          	40.4371         
Node J_CNT41    	0.3667          	51.8916         
Node J_CNT41    	0.4000          	53.4147         
Node J_CNT41    	0.4333          	42.9238         
Node J_CNT41    	0.4667          	50.3937         
Node J_CNT41    	0.5000          	49.3368         
Node J_CNT41    	0.5333          	35.4473         
Node J_CNT41    	0.5667          	34.4280         
Node J_CNT41    	0.6000          	53.4630         
Node J_CNT41    	0.6333          	46.5104         
Node J_CNT41    	0.6667          	27.9825         
Node J_CNT41    	0.7000          	32.2183         
Node J_CNT41    	0.7333          	52.5169         
Node J_CNT41    	0.7667          	45.4852         
Node J_CNT41    	0.8000          	23.1902         
Node J_CNT41    	0.8333          	31.5048         
Node J_CNT41    	0.8667          	55.2970         
Node J_CNT41    	0.9000          	42.3820         
Node J_CNT41    	0.9333          	23.6115         
Node J_CNT41    	0.9667          	29.7640         
Node J_CNT41    	1.0000          	54.7860         
