LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HP,Setting,CurveID,Valve  Type,Tag,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Valve,Type.1,Reject_Reason,Notes
V10,Valve,J_V10_IN,J_V10_OUT,0,2.469,0.000167,Open,0,nan,nan,20,FCV,"""FCV set to 20 gpm (SNT2)""",nan,nan,nan,nan,,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV)
P_SNT4_20,Pipe,J_V10_OUT,J_SNT4_20,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2  change to SNT4 through Valve V10,nan,nan,nan,nan,,,,
P_SNT4_20_CNT64,Pipe,J_SNT4_20,CNT64,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral ? CNT64,nan,nan,nan,nan,,,,
P_SNT4_20_70,Pipe,J_SNT4_20,J_SNT4_70,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT4 +50 ft to CNT65,nan,nan,nan,nan,,,,
P_SNT4_70_CNT65,Pipe,J_SNT2_70,CNT65,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral ? CNT65,nan,nan,nan,nan,,,,
P_SNT2_70_50,Pipe,J_SNT4_70,J_SNT4_120,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT4 +50 ft to CNT66,nan,nan,nan,nan,,,,
P_SNT4_120_CNT66,Pipe,J_SNT4_120,CNT66,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral ? CNT66,nan,nan,nan,nan,,,,
P_SNT2_120_50,Pipe,J_SNT4_120,J_SNT4_170,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT4 +50 ft to CNT67,nan,nan,nan,nan,,,,
P_SNT4_170_CNT67,Pipe,J_SNT4_170,CNT67,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral ? CNT67,nan,nan,nan,nan,,,,
P_SNT2_1070_V10_OUT,Pipe,J_V10_OUT,J_SNT2_1170,100,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 +100 ft on trunk to Valve 11,nan,nan,nan,nan,,,,
P_SNT2_1170_V11_IN,Pipe,J_V11_IN,J_V11_OUT,0,2.469,0.000167,Open,0,nan,nan,20,FCV,"""FCV set to 20 gpm (SNT2)""",nan,nan,nan,nan,,,,
