Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT36    	1.8333          	31.3372         
Node J_CNT36    	1.8667          	57.3765         
Node J_CNT36    	1.9000          	31.4423         
Node J_CNT36    	1.9333          	57.6198         
Node J_CNT36    	1.9667          	30.5475         
Node J_CNT36    	2.0000          	57.0652         
Node J_CNT41    	0.0000          	58.3615         
Node J_CNT41    	0.0333          	57.3661         
Node J_CNT41    	0.0667          	55.3711         
Node J_CNT41    	0.1000          	63.8157         
Node J_CNT41    	0.1333          	50.7704         
Node J_CNT41    	0.1667          	57.8320         
Node J_CNT41    	0.2000          	51.5944         
Node J_CNT41    	0.2333          	56.2911         
Node J_CNT41    	0.2667          	56.0741         
Node J_CNT41    	0.3000          	55.6431         
Node J_CNT41    	0.3333          	56.4244         
Node J_CNT41    	0.3667          	58.9502         
Node J_CNT41    	0.4000          	59.9711         
Node J_CNT41    	0.4333          	61.1005         
Node J_CNT41    	0.4667          	61.3505         
Node J_CNT41    	0.5000          	61.1597         
Node J_CNT41    	0.5333          	61.0051         
Node J_CNT41    	0.5667          	60.8768         
Node J_CNT41    	0.6000          	60.4938         
Node J_CNT41    	0.6333          	60.3882         
Node J_CNT41    	0.6667          	60.2962         
Node J_CNT41    	0.7000          	59.9346         
Node J_CNT41    	0.7333          	59.8561         
Node J_CNT41    	0.7667          	59.4958         
Node J_CNT41    	0.8000          	59.1330         
Node J_CNT41    	0.8333          	59.0680         
Node J_CNT41    	0.8667          	58.7033         
Node J_CNT41    	0.9000          	58.3491         
Node J_CNT41    	0.9333          	58.0009         
Node J_CNT41    	0.9667          	57.6627         
Node J_CNT41    	1.0000          	57.3391         
Node J_CNT41    	1.0333          	56.7162         
Node J_CNT41    	1.0667          	55.8770         
Node J_CNT41    	1.1000          	54.3433         
Node J_CNT41    	1.1333          	45.0381         
Node J_CNT41    	1.1667          	52.8744         
Node J_CNT41    	1.2000          	59.6312         
Node J_CNT41    	1.2333          	55.9736         
Node J_CNT41    	1.2667          	53.2115         
Node J_CNT41    	1.3000          	49.5512         
Node J_CNT41    	1.3333          	56.4388         
Node J_CNT41    	1.3667          	52.7097         
Node J_CNT41    	1.4000          	55.4053         
Node J_CNT41    	1.4333          	41.0892         
Node J_CNT41    	1.4667          	58.0433         
Node J_CNT41    	1.5000          	35.7058         
Node J_CNT41    	1.5333          	58.1358         
Node J_CNT41    	1.5667          	34.6473         
Node J_CNT41    	1.6000          	57.9626         
Node J_CNT41    	1.6333          	35.1101         
Node J_CNT41    	1.6667          	58.6998         
Node J_CNT41    	1.7000          	33.4152         
Node J_CNT41    	1.7333          	58.4927         
Node J_CNT41    	1.7667          	33.4607         
Node J_CNT41    	1.8000          	58.8302         
Node J_CNT41    	1.8333          	32.2256         
Node J_CNT41    	1.8667          	58.2649         
Node J_CNT41    	1.9000          	32.3307         
Node J_CNT41    	1.9333          	58.5083         
Node J_CNT41    	1.9667          	31.4359         
Node J_CNT41    	2.0000          	57.9537         
Node J_CNT80    	0.0000          	58.3435         
Node J_CNT80    	0.0333          	57.3481         
Node J_CNT80    	0.0667          	55.3531         
Node J_CNT80    	0.1000          	63.7976         
Node J_CNT80    	0.1333          	50.7524         
Node J_CNT80    	0.1667          	57.8140         
Node J_CNT80    	0.2000          	51.5764         
Node J_CNT80    	0.2333          	56.2731         
Node J_CNT80    	0.2667          	56.0561         
Node J_CNT80    	0.3000          	55.6251         
Node J_CNT80    	0.3333          	56.4064         
Node J_CNT80    	0.3667          	58.9322         
Node J_CNT80    	0.4000          	59.9531         
Node J_CNT80    	0.4333          	61.0825         
Node J_CNT80    	0.4667          	61.3325         
Node J_CNT80    	0.5000          	61.1417         
Node J_CNT80    	0.5333          	60.9871         
Node J_CNT80    	0.5667          	60.8588         
Node J_CNT80    	0.6000          	60.4758         
Node J_CNT80    	0.6333          	60.3702         
Node J_CNT80    	0.6667          	60.2782         
Node J_CNT80    	0.7000          	59.9166         
Node J_CNT80    	0.7333          	59.8381         
Node J_CNT80    	0.7667          	59.4778         
Node J_CNT80    	0.8000          	59.1150         
Node J_CNT80    	0.8333          	59.0500         
Node J_CNT80    	0.8667          	58.6853         
Node J_CNT80    	0.9000          	58.3311         
Node J_CNT80    	0.9333          	57.9829         
Node J_CNT80    	0.9667          	57.6447         
Node J_CNT80    	1.0000          	57.3211         
Node J_CNT80    	1.0333          	56.6982         
Node J_CNT80    	1.0667          	55.8590         
Node J_CNT80    	1.1000          	54.3253         
Node J_CNT80    	1.1333          	45.0201         
