Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT36    	1.6667          	-429823.5000    
Node J_CNT36    	1.7000          	-429806.9375    
Node J_CNT36    	1.7333          	-429819.7500    
Node J_CNT36    	1.7667          	-429793.2500    
Node J_CNT36    	1.8000          	-429836.3438    
Node J_CNT36    	1.8333          	-429808.5313    
Node J_CNT36    	1.8667          	-429823.0938    
Node J_CNT36    	1.9000          	-429813.3125    
Node J_CNT36    	1.9333          	-429825.0000    
Node J_CNT36    	1.9667          	-429816.1875    
Node J_CNT36    	2.0000          	-429812.1875    
Node J_CNT41    	0.0000          	55.3688         
Node J_CNT41    	0.0333          	53.0154         
Node J_CNT41    	0.0667          	51.3921         
Node J_CNT41    	0.1000          	59.0363         
Node J_CNT41    	0.1333          	45.5156         
Node J_CNT41    	0.1667          	58.7785         
Node J_CNT41    	0.2000          	38.8425         
Node J_CNT41    	0.2333          	56.5339         
Node J_CNT41    	0.2667          	34.1444         
Node J_CNT41    	0.3000          	56.1628         
Node J_CNT41    	0.3333          	31.5354         
Node J_CNT41    	0.3667          	56.4264         
Node J_CNT41    	0.4000          	28.7229         
Node J_CNT41    	0.4333          	56.4101         
Node J_CNT41    	0.4667          	26.9947         
Node J_CNT41    	0.5000          	57.1643         
Node J_CNT41    	0.5333          	26.1011         
Node J_CNT41    	0.5667          	54.9947         
Node J_CNT41    	0.6000          	43.5580         
Node J_CNT41    	0.6333          	51.6877         
Node J_CNT41    	0.6667          	27.4323         
Node J_CNT41    	0.7000          	54.9650         
Node J_CNT41    	0.7333          	22.8846         
Node J_CNT41    	0.7667          	55.0996         
Node J_CNT41    	0.8000          	21.6421         
Node J_CNT41    	0.8333          	53.9743         
Node J_CNT41    	0.8667          	38.0101         
Node J_CNT41    	0.9000          	59.5622         
Node J_CNT41    	0.9333          	38.6773         
Node J_CNT41    	0.9667          	59.1195         
Node J_CNT41    	1.0000          	38.1520         
Node J_CNT41    	1.0333          	59.7984         
Node J_CNT41    	1.0667          	38.1432         
Node J_CNT41    	1.1000          	59.8072         
Node J_CNT41    	1.1333          	38.1294         
Node J_CNT41    	1.1667          	59.8072         
Node J_CNT41    	1.2000          	38.1187         
Node J_CNT41    	1.2333          	59.8025         
Node J_CNT41    	1.2667          	38.1101         
Node J_CNT41    	1.3000          	59.7974         
Node J_CNT41    	1.3333          	38.1031         
Node J_CNT41    	1.3667          	59.7928         
Node J_CNT41    	1.4000          	38.0976         
Node J_CNT41    	1.4333          	59.7890         
Node J_CNT41    	1.4667          	38.0933         
Node J_CNT41    	1.5000          	59.7859         
Node J_CNT41    	1.5333          	38.0898         
Node J_CNT41    	1.5667          	59.7834         
Node J_CNT41    	1.6000          	38.0871         
Node J_CNT41    	1.6333          	59.7815         
Node J_CNT41    	1.6667          	38.0850         
Node J_CNT41    	1.7000          	59.7799         
Node J_CNT41    	1.7333          	38.0833         
Node J_CNT41    	1.7667          	59.7787         
Node J_CNT41    	1.8000          	38.0819         
Node J_CNT41    	1.8333          	59.7777         
Node J_CNT41    	1.8667          	38.0808         
Node J_CNT41    	1.9000          	59.7770         
Node J_CNT41    	1.9333          	38.0800         
Node J_CNT41    	1.9667          	59.7764         
Node J_CNT41    	2.0000          	38.0793         
Node J_CNT80    	0.0000          	53.5382         
Node J_CNT80    	0.0333          	51.1848         
Node J_CNT80    	0.0667          	49.5615         
Node J_CNT80    	0.1000          	57.2057         
Node J_CNT80    	0.1333          	43.6850         
Node J_CNT80    	0.1667          	56.9478         
Node J_CNT80    	0.2000          	37.0119         
Node J_CNT80    	0.2333          	54.7032         
Node J_CNT80    	0.2667          	32.3138         
Node J_CNT80    	0.3000          	54.3322         
Node J_CNT80    	0.3333          	29.7047         
Node J_CNT80    	0.3667          	54.5958         
Node J_CNT80    	0.4000          	26.8922         
Node J_CNT80    	0.4333          	54.5795         
Node J_CNT80    	0.4667          	25.1640         
Node J_CNT80    	0.5000          	55.3337         
Node J_CNT80    	0.5333          	24.2705         
Node J_CNT80    	0.5667          	53.1641         
Node J_CNT80    	0.6000          	41.7274         
Node J_CNT80    	0.6333          	49.8571         
Node J_CNT80    	0.6667          	25.6016         
Node J_CNT80    	0.7000          	53.1344         
Node J_CNT80    	0.7333          	21.0539         
Node J_CNT80    	0.7667          	53.2689         
Node J_CNT80    	0.8000          	19.8115         
Node J_CNT80    	0.8333          	52.1437         
Node J_CNT80    	0.8667          	36.1795         
Node J_CNT80    	0.9000          	57.7316         
Node J_CNT80    	0.9333          	36.8467         
Node J_CNT80    	0.9667          	57.2889         
Node J_CNT80    	1.0000          	36.3213         
Node J_CNT80    	1.0333          	57.9678         
Node J_CNT80    	1.0667          	36.3126         
Node J_CNT80    	1.1000          	57.9766         
Node J_CNT80    	1.1333          	36.2988         
Node J_CNT80    	1.1667          	57.9765         
Node J_CNT80    	1.2000          	36.2881         
Node J_CNT80    	1.2333          	57.9718         
Node J_CNT80    	1.2667          	36.2794         
Node J_CNT80    	1.3000          	57.9667         
Node J_CNT80    	1.3333          	36.2725         
Node J_CNT80    	1.3667          	57.9621         
Node J_CNT80    	1.4000          	36.2670         
Node J_CNT80    	1.4333          	57.9583         
Node J_CNT80    	1.4667          	36.2627         
Node J_CNT80    	1.5000          	57.9553         
Node J_CNT80    	1.5333          	36.2592         
Node J_CNT80    	1.5667          	57.9528         
Node J_CNT80    	1.6000          	36.2565         
Node J_CNT80    	1.6333          	57.9508         
Node J_CNT80    	1.6667          	36.2543         
Node J_CNT80    	1.7000          	57.9493         
Node J_CNT80    	1.7333          	36.2526         
Node J_CNT80    	1.7667          	57.9481         
Node J_CNT80    	1.8000          	36.2513         
Node J_CNT80    	1.8333          	57.9471         
Node J_CNT80    	1.8667          	36.2502         
Node J_CNT80    	1.9000          	57.9463         
Node J_CNT80    	1.9333          	36.2494         
Node J_CNT80    	1.9667          	57.9457         
Node J_CNT80    	2.0000          	36.2487         
