Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT36    	1.6000          	-1514208.2500   
Node J_CNT36    	1.6333          	-1514240.8750   
Node J_CNT36    	1.6667          	-1514217.5000   
Node J_CNT36    	1.7000          	-1514220.7500   
Node J_CNT36    	1.7333          	-1514168.0000   
Node J_CNT36    	1.7667          	-1514238.2500   
Node J_CNT36    	1.8000          	-1514194.1250   
Node J_CNT36    	1.8333          	-1514211.7500   
Node J_CNT36    	1.8667          	-1514193.0000   
Node J_CNT36    	1.9000          	-1514223.1250   
Node J_CNT36    	1.9333          	-1514234.2500   
Node J_CNT36    	1.9667          	-1514230.8750   
Node J_CNT36    	2.0000          	-1514218.1250   
Node J_CNT41    	0.0000          	53.6145         
Node J_CNT41    	0.0333          	50.8161         
Node J_CNT41    	0.0667          	49.2894         
Node J_CNT41    	0.1000          	56.7419         
Node J_CNT41    	0.1333          	42.8129         
Node J_CNT41    	0.1667          	58.4162         
Node J_CNT41    	0.2000          	34.6554         
Node J_CNT41    	0.2333          	55.3349         
Node J_CNT41    	0.2667          	29.4530         
Node J_CNT41    	0.3000          	55.2583         
Node J_CNT41    	0.3333          	26.2621         
Node J_CNT41    	0.3667          	55.5642         
Node J_CNT41    	0.4000          	23.3106         
Node J_CNT41    	0.4333          	55.2540         
Node J_CNT41    	0.4667          	43.4776         
Node J_CNT41    	0.5000          	39.4204         
Node J_CNT41    	0.5333          	59.4628         
Node J_CNT41    	0.5667          	38.0185         
Node J_CNT41    	0.6000          	56.2114         
Node J_CNT41    	0.6333          	36.0818         
Node J_CNT41    	0.6667          	47.4756         
Node J_CNT41    	0.7000          	31.3884         
Node J_CNT41    	0.7333          	59.0926         
Node J_CNT41    	0.7667          	31.8776         
Node J_CNT41    	0.8000          	58.2151         
Node J_CNT41    	0.8333          	31.6967         
Node J_CNT41    	0.8667          	58.0854         
Node J_CNT41    	0.9000          	30.8475         
Node J_CNT41    	0.9333          	58.3373         
Node J_CNT41    	0.9667          	29.9653         
Node J_CNT41    	1.0000          	58.5198         
Node J_CNT41    	1.0333          	29.0430         
Node J_CNT41    	1.0667          	58.6526         
Node J_CNT41    	1.1000          	28.7775         
Node J_CNT41    	1.1333          	58.4557         
Node J_CNT41    	1.1667          	27.8636         
Node J_CNT41    	1.2000          	58.5762         
Node J_CNT41    	1.2333          	26.9184         
Node J_CNT41    	1.2667          	58.6547         
Node J_CNT41    	1.3000          	26.6510         
Node J_CNT41    	1.3333          	58.4552         
Node J_CNT41    	1.3667          	25.7137         
Node J_CNT41    	1.4000          	58.5262         
Node J_CNT41    	1.4333          	25.4672         
Node J_CNT41    	1.4667          	58.3401         
Node J_CNT41    	1.5000          	24.5359         
Node J_CNT41    	1.5333          	58.4008         
Node J_CNT41    	1.5667          	23.5653         
Node J_CNT41    	1.6000          	58.4222         
Node J_CNT41    	1.6333          	23.3017         
Node J_CNT41    	1.6667          	58.2284         
Node J_CNT41    	1.7000          	22.3376         
Node J_CNT41    	1.7333          	58.2392         
Node J_CNT41    	1.7667          	22.0891         
Node J_CNT41    	1.8000          	58.0552         
Node J_CNT41    	1.8333          	21.1276         
Node J_CNT41    	1.8667          	58.0553         
Node J_CNT41    	1.9000          	20.8878         
Node J_CNT41    	1.9333          	57.8788         
Node J_CNT41    	1.9667          	19.9243         
Node J_CNT41    	2.0000          	57.8662         
Node J_CNT80    	0.0000          	50.5682         
Node J_CNT80    	0.0333          	47.7698         
Node J_CNT80    	0.0667          	46.2430         
Node J_CNT80    	0.1000          	53.6955         
Node J_CNT80    	0.1333          	39.7665         
Node J_CNT80    	0.1667          	55.3698         
Node J_CNT80    	0.2000          	31.6090         
Node J_CNT80    	0.2333          	52.2885         
Node J_CNT80    	0.2667          	26.4066         
Node J_CNT80    	0.3000          	52.2119         
Node J_CNT80    	0.3333          	23.2157         
Node J_CNT80    	0.3667          	52.5179         
Node J_CNT80    	0.4000          	20.2642         
Node J_CNT80    	0.4333          	52.2076         
Node J_CNT80    	0.4667          	40.4313         
Node J_CNT80    	0.5000          	36.3740         
Node J_CNT80    	0.5333          	56.4164         
Node J_CNT80    	0.5667          	34.9721         
Node J_CNT80    	0.6000          	53.1651         
Node J_CNT80    	0.6333          	33.0354         
Node J_CNT80    	0.6667          	44.4293         
Node J_CNT80    	0.7000          	28.3420         
Node J_CNT80    	0.7333          	56.0462         
Node J_CNT80    	0.7667          	28.8313         
Node J_CNT80    	0.8000          	55.1687         
Node J_CNT80    	0.8333          	28.6503         
Node J_CNT80    	0.8667          	55.0391         
Node J_CNT80    	0.9000          	27.8011         
Node J_CNT80    	0.9333          	55.2909         
Node J_CNT80    	0.9667          	26.9190         
Node J_CNT80    	1.0000          	55.4734         
Node J_CNT80    	1.0333          	25.9966         
