Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,40.0
2.5,50.625,40.0
5.0,41.25,40.0
7.5,31.874999999999996,40.0
10.0,34.328947368421055,20.0
12.5,32.108552631578945,20.0
15.0,29.888157894736842,20.0
17.5,27.66776315789474,20.0
20.0,25.447368421052634,20.0
22.5,23.226973684210527,20.0
25.0,21.00657894736842,20.0
27.5,18.78618421052632,20.0
32.5,18.78618421052632,0.0
35.0,18.78618421052632,0.0
37.5,18.78618421052632,0.0
40.0,18.78618421052632,0.0
42.5,18.78618421052632,0.0
45.0,18.78618421052632,0.0
47.5,18.78618421052632,0.0
50.0,18.78618421052632,0.0
52.5,18.78618421052632,0.0
55.0,18.78618421052632,0.0
57.5,18.78618421052632,0.0
60.0,18.78618421052632,0.0
62.5,18.78618421052632,0.0
65.0,60.0,0.0
67.5,-193.12500000000003,40.0
72.5,-193.12500000000003,0.0
75.0,-193.12500000000003,0.0
77.5,-193.12500000000003,0.0
80.0,-193.12500000000003,0.0
82.5,-193.12500000000003,0.0
85.0,-193.12500000000003,0.0
87.5,-193.12500000000003,0.0
90.0,-193.12500000000003,0.0
92.5,-193.12500000000003,0.0
95.0,-193.12500000000003,0.0
97.5,-193.12500000000003,0.0
100.0,-193.12500000000003,0.0
102.5,-193.12500000000003,0.0
105.0,-193.12500000000003,0.0
107.5,-193.12500000000003,0.0
110.0,-193.12500000000003,0.0
112.5,-193.12500000000003,0.0
115.0,-193.12500000000003,0.0
117.5,-193.12500000000003,0.0
120.0,-193.12500000000003,0.0
