Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,80.0
2.5,41.25,80.0
5.0,22.499999999999993,80.0
7.5,25.832236842105267,20.0
10.0,19.17105263157895,20.0
15.0,19.17105263157895,0.0
17.5,19.17105263157895,0.0
20.0,19.17105263157895,0.0
22.5,19.17105263157895,0.0
25.0,19.17105263157895,0.0
27.5,19.17105263157895,0.0
30.0,19.17105263157895,0.0
32.5,19.17105263157895,0.0
35.0,19.17105263157895,0.0
37.5,19.17105263157895,0.0
40.0,19.17105263157895,0.0
42.5,19.17105263157895,0.0
45.0,19.17105263157895,0.0
47.5,60.0,0.0
50.0,-315.00000000000006,80.0
55.0,-315.00000000000006,0.0
57.5,-315.00000000000006,0.0
60.0,-315.00000000000006,0.0
62.5,-315.00000000000006,0.0
65.0,-315.00000000000006,0.0
67.5,-315.00000000000006,0.0
70.0,-315.00000000000006,0.0
72.5,-315.00000000000006,0.0
75.0,-315.00000000000006,0.0
77.5,-315.00000000000006,0.0
80.0,-315.00000000000006,0.0
82.5,-315.00000000000006,0.0
85.0,-315.00000000000006,0.0
87.5,-315.00000000000006,0.0
90.0,-315.00000000000006,0.0
92.5,-315.00000000000006,0.0
95.0,-315.00000000000006,0.0
97.5,-315.00000000000006,0.0
100.0,-315.00000000000006,0.0
102.5,-315.00000000000006,0.0
105.0,-315.00000000000006,0.0
107.5,-315.00000000000006,0.0
110.0,-315.00000000000006,0.0
112.5,-315.00000000000006,0.0
115.0,-315.00000000000006,0.0
117.5,-315.00000000000006,0.0
120.0,-315.00000000000006,0.0
