NodeID,Type,Elevation_ft,BaseDemand_gpm,Pattern,X,Y,InitLevel_ft,MinLevel_ft,MaxLevel_ft,,,x,y,z,,,
J_SNT1_1655_1750,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1750_CNT30,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1750_1765,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1780_CNT31,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1765_1975,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1860_CNT32,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1860_1875,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1875_CNT33,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_1875_2025,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_2025_CNT34,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_2025_2040,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_2040_CNT35,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_2040_2135,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_2135_CNT36,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_2135_2215,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_V4_IN,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V4,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_M1_SNT2,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_V5_IN,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V5,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_55_CNT37,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_55_80,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_80_CNT38,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_80_105,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V6,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_105_185,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V7,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_185_CNT39,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_185_205,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_205_CNT40,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_CNT40_V8_IN,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V8,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_CNT40_185,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_205_230,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_235_CNT42,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_235_245,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_245_CNT43,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_245_290,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_290_CNT44,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_290_305,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_305_CNT45,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_305_355,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_355_CNT46,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_355_370,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_370_CNT47,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_370_420,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_420_CNT48,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_420_440,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_440_CNT49,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_440_475,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_475_CNT50,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_475_510,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_510_CNT51,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_510_545,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_545_CNT52,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_545_580,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_580_CNT53,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_580_715,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_715_CNT54,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_715_765,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_765_CNT55,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_765_815,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_815_CNT56,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_815_890,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_V9_IN,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V9,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_890_CNT57,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_890_V9_OUT,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_55_CNT58,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_55_110,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_110_CNT59,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_110_165,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_165_CNT60,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_165_220,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_220_CNT61,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_220_275,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT3_275_CNT62,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_890_910,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_910_CNT63,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_910_1070,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V10,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_20,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_20_CNT64,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_20_70,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_70_CNT65,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_70_120,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_120_CNT66,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_120_170,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT4_170_CNT67,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1070_V10_OUT,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1170_V11_IN,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_125_V11_OUT,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_125_CNT68,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SN5_BEND_125_140,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_140_165,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_165_CNT69,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_165_190,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_190_CNT69,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_190_260,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_260_CNT70,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_260_310,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_310_CNT71,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_310_325,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_325_CNT72,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_325_400,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_400_CNT73,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_400_415,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_415_CNT74,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_400_430,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_430_CNT75,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_430_495,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_495_CNT76,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_495_530,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_530_CNT77,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_530_565,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_565_CNT78,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_565_620,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_620_CNT79,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_620_695,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_695_CNT80,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_695_770,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_770_CNT81,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_770_800,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_800_CNT82,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_770_850,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT5_850_CNT83,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1170_V11_OUT,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1185_CNT84,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1185_1285,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1285_TEE,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_TEE_SNT2_1285_1385,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1385_TEE,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_TEE_SNT2_1385_SNT6,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT6_V12_IN,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V12,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_TEE_SNT2_1385_1465,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT2_1465_TEE,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_TEE_SNT2_1465_SNT7,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT7_V13_IN,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V13,Junction,,,,,,,,,,,0,,,,,
J_TEE_SNT2_1465_1565,Junction,,,,,,,,,,,0,,,,,
J_SNT2_V14_IN,Junction,,,,,,,,,,,0,,,,,
V14,Junction,,,,,,,,,,,0,,,,,
