Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,60.0
2.5,45.94,60.0
5.0,31.88,60.0
7.5,31.62,20.0
10.0,27.18,20.0
12.5,22.74,20.0
15.0,18.3,20.0
20.0,9.42,0.0
22.5,4.98,0.0
25.0,0.54,0.0
27.5,-3.9,0.0
30.0,-8.34,0.0
32.5,-12.78,0.0
35.0,-17.22,0.0
37.5,-21.66,0.0
40.0,-26.11,0.0
42.5,-30.55,0.0
45.0,-34.99,0.0
47.5,-39.43,0.0
50.0,-43.87,0.0
52.5,-48.31,0.0
55.0,-52.75,0.0
57.5,-57.19,0.0
60.0,-61.63,0.0
62.5,-66.07,0.0
65.0,-70.51,0.0
67.5,-74.95,0.0
70.0,-79.39,0.0
72.5,-83.84,0.0
75.0,-88.28,0.0
77.5,-92.72,0.0
80.0,-97.16,0.0
82.5,-101.6,0.0
85.0,-106.04,0.0
87.5,-110.48,0.0
90.0,-114.92,0.0
92.5,-119.36,0.0
95.0,-123.8,0.0
97.5,-128.24,0.0
100.0,-132.68,0.0
102.5,-137.12,0.0
105.0,-141.57,0.0
107.5,-146.01,0.0
110.0,-150.45,0.0
112.5,-154.89,0.0
115.0,-159.33,0.0
117.5,-163.77,0.0
120.0,-168.21,0.0
