Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT80    	0.6333          	36.7712         
Node J_CNT80    	0.6667          	38.1087         
Node J_CNT80    	0.7000          	34.5965         
Node J_CNT80    	0.7333          	39.3598         
Node J_CNT80    	0.7667          	25.6810         
Node J_CNT80    	0.8000          	29.3639         
Node J_CNT80    	0.8333          	51.5235         
Node J_CNT80    	0.8667          	24.6328         
Node J_CNT80    	0.9000          	55.5314         
Node J_CNT80    	0.9333          	23.1313         
Node J_CNT80    	0.9667          	56.0593         
Node J_CNT80    	1.0000          	22.2421         
Node J_CNT80    	1.0333          	56.1791         
Node J_CNT80    	1.0667          	21.2954         
Node J_CNT80    	1.1000          	56.2409         
Node J_CNT80    	1.1333          	21.0542         
Node J_CNT80    	1.1667          	56.0714         
Node J_CNT80    	1.2000          	20.1058         
Node J_CNT80    	1.2333          	56.1051         
Node J_CNT80    	1.2667          	19.1145         
Node J_CNT80    	1.3000          	56.0983         
Node J_CNT80    	1.3333          	18.8524         
Node J_CNT80    	1.3667          	55.9095         
Node J_CNT80    	1.4000          	17.8685         
Node J_CNT80    	1.4333          	55.8892         
Node J_CNT80    	1.4667          	17.6195         
Node J_CNT80    	1.5000          	55.7080         
Node J_CNT80    	1.5333          	16.6372         
Node J_CNT80    	1.5667          	55.6763         
Node J_CNT80    	1.6000          	16.3958         
Node J_CNT80    	1.6333          	55.5013         
Node J_CNT80    	1.6667          	16.2007         
Node J_CNT80    	1.7000          	55.3503         
Node J_CNT80    	1.7333          	16.4470         
Node J_CNT80    	1.7667          	55.1442         
Node J_CNT80    	1.8000          	16.3374         
Node J_CNT80    	1.8333          	55.0281         
Node J_CNT80    	1.8667          	16.5502         
Node J_CNT80    	1.9000          	54.5845         
Node J_CNT80    	1.9333          	16.7577         
Node J_CNT80    	1.9667          	54.4032         
Node J_CNT80    	2.0000          	16.9364         
