Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT41    	0.4000          	50.6954         
Node J_CNT41    	0.4333          	62.1573         
Node J_CNT41    	0.4667          	50.2220         
Node J_CNT41    	0.5000          	62.2467         
Node J_CNT41    	0.5333          	49.7379         
Node J_CNT41    	0.5667          	61.7661         
Node J_CNT41    	0.6000          	49.4709         
Node J_CNT41    	0.6333          	59.9181         
Node J_CNT41    	0.6667          	49.6549         
Node J_CNT41    	0.7000          	55.7079         
Node J_CNT41    	0.7333          	51.6676         
Node J_CNT41    	0.7667          	55.0424         
Node J_CNT41    	0.8000          	51.9964         
Node J_CNT41    	0.8333          	56.5368         
Node J_CNT41    	0.8667          	51.2363         
Node J_CNT41    	0.9000          	57.1734         
Node J_CNT41    	0.9333          	55.8365         
Node J_CNT41    	0.9667          	52.5133         
Node J_CNT41    	1.0000          	64.0149         
Node J_CNT41    	1.0333          	57.8852         
Node J_CNT41    	1.0667          	56.7442         
Node J_CNT41    	1.1000          	55.3428         
Node J_CNT41    	1.1333          	51.4370         
Node J_CNT41    	1.1667          	64.8610         
Node J_CNT41    	1.2000          	56.6852         
Node J_CNT41    	1.2333          	54.7885         
Node J_CNT41    	1.2667          	49.2507         
Node J_CNT41    	1.3000          	58.2497         
Node J_CNT41    	1.3333          	55.0830         
Node J_CNT41    	1.3667          	51.0891         
Node J_CNT41    	1.4000          	62.7500         
Node J_CNT41    	1.4333          	55.2500         
Node J_CNT41    	1.4667          	51.0784         
Node J_CNT41    	1.5000          	61.2486         
Node J_CNT41    	1.5333          	54.6667         
Node J_CNT41    	1.5667          	49.3621         
Node J_CNT41    	1.6000          	64.2078         
Node J_CNT41    	1.6333          	53.8458         
Node J_CNT41    	1.6667          	46.6422         
Node J_CNT41    	1.7000          	57.5935         
Node J_CNT41    	1.7333          	52.3161         
Node J_CNT41    	1.7667          	44.7644         
Node J_CNT41    	1.8000          	54.6972         
Node J_CNT41    	1.8333          	47.3161         
Node J_CNT41    	1.8667          	59.8427         
Node J_CNT41    	1.9000          	52.0473         
Node J_CNT41    	1.9333          	43.3408         
Node J_CNT41    	1.9667          	54.8331         
Node J_CNT41    	2.0000          	47.4193         
Node J_CNT80    	0.0000          	58.3435         
Node J_CNT80    	0.0333          	57.5286         
Node J_CNT80    	0.0667          	55.4531         
Node J_CNT80    	0.1000          	63.7787         
Node J_CNT80    	0.1333          	51.8864         
Node J_CNT80    	0.1667          	59.2162         
Node J_CNT80    	0.2000          	51.1432         
Node J_CNT80    	0.2333          	58.2739         
Node J_CNT80    	0.2667          	50.3317         
Node J_CNT80    	0.3000          	57.0057         
Node J_CNT80    	0.3333          	51.7629         
Node J_CNT80    	0.3667          	62.0589         
Node J_CNT80    	0.4000          	50.6774         
Node J_CNT80    	0.4333          	62.1393         
Node J_CNT80    	0.4667          	50.2039         
Node J_CNT80    	0.5000          	62.2287         
Node J_CNT80    	0.5333          	49.7199         
Node J_CNT80    	0.5667          	61.7481         
Node J_CNT80    	0.6000          	49.4529         
Node J_CNT80    	0.6333          	59.9001         
Node J_CNT80    	0.6667          	49.6369         
Node J_CNT80    	0.7000          	55.6899         
Node J_CNT80    	0.7333          	51.6496         
Node J_CNT80    	0.7667          	55.0244         
Node J_CNT80    	0.8000          	51.9784         
Node J_CNT80    	0.8333          	56.5188         
Node J_CNT80    	0.8667          	51.2183         
Node J_CNT80    	0.9000          	57.1554         
Node J_CNT80    	0.9333          	55.8185         
Node J_CNT80    	0.9667          	52.4953         
Node J_CNT80    	1.0000          	63.9969         
Node J_CNT80    	1.0333          	57.8672         
Node J_CNT80    	1.0667          	56.7262         
Node J_CNT80    	1.1000          	55.3248         
Node J_CNT80    	1.1333          	51.4190         
Node J_CNT80    	1.1667          	64.8430         
Node J_CNT80    	1.2000          	56.6672         
Node J_CNT80    	1.2333          	54.7705         
Node J_CNT80    	1.2667          	49.2327         
Node J_CNT80    	1.3000          	58.2317         
Node J_CNT80    	1.3333          	55.0650         
Node J_CNT80    	1.3667          	51.0711         
Node J_CNT80    	1.4000          	62.7320         
Node J_CNT80    	1.4333          	55.2320         
Node J_CNT80    	1.4667          	51.0604         
Node J_CNT80    	1.5000          	61.2306         
Node J_CNT80    	1.5333          	54.6487         
Node J_CNT80    	1.5667          	49.3441         
Node J_CNT80    	1.6000          	64.1898         
Node J_CNT80    	1.6333          	53.8278         
Node J_CNT80    	1.6667          	46.6242         
Node J_CNT80    	1.7000          	57.5755         
Node J_CNT80    	1.7333          	52.2980         
Node J_CNT80    	1.7667          	44.7464         
Node J_CNT80    	1.8000          	54.6792         
Node J_CNT80    	1.8333          	47.2981         
Node J_CNT80    	1.8667          	59.8247         
Node J_CNT80    	1.9000          	52.0293         
Node J_CNT80    	1.9333          	43.3228         
Node J_CNT80    	1.9667          	54.8151         
Node J_CNT80    	2.0000          	47.4013         
